date,sector,sentiment,headline_count,lagged_sentiment
2020-01-02 00:00:00,Comm,0.0,11,0.0
2020-01-03 00:00:00,Comm,0.0,3,0.0
2020-01-04 00:00:00,Comm,0.0,1,0.0
2020-01-05 00:00:00,Comm,0.0,2,0.0
2020-01-06 00:00:00,Comm,0.0,13,0.0
2020-01-07 00:00:00,Comm,0.0,5,0.0
2020-01-08 00:00:00,Comm,0.05,20,0.0
2020-01-09 00:00:00,Comm,0.16666666666666666,6,0.05
2020-01-10 00:00:00,Comm,0.0,8,0.16666666666666666
2020-01-11 00:00:00,Comm,0.0,4,0.0
2020-01-12 00:00:00,Comm,0.3333333333333333,3,0.0
2020-01-13 00:00:00,Comm,0.14285714285714285,7,0.3333333333333333
2020-01-14 00:00:00,Comm,0.25,4,0.14285714285714285
2020-01-15 00:00:00,Comm,0.0,9,0.25
2020-01-16 00:00:00,Comm,0.0,17,0.0
2020-01-17 00:00:00,Comm,0.0,8,0.0
2020-01-18 00:00:00,Comm,0.0,5,0.0
2020-01-19 00:00:00,Comm,0.0,3,0.0
2020-01-20 00:00:00,Comm,0.0,1,0.0
2020-01-21 00:00:00,Comm,-0.1,10,0.0
2020-01-22 00:00:00,Comm,0.0,4,-0.1
2020-01-23 00:00:00,Comm,0.18181818181818182,22,0.0
2020-01-24 00:00:00,Comm,0.0,24,0.18181818181818182
2020-01-25 00:00:00,Comm,0.0,7,0.0
2020-01-26 00:00:00,Comm,0.0,1,0.0
2020-01-27 00:00:00,Comm,-0.16666666666666666,12,0.0
2020-01-28 00:00:00,Comm,0.0,15,-0.16666666666666666
2020-01-29 00:00:00,Comm,0.18181818181818182,11,0.0
2020-01-30 00:00:00,Comm,-0.05263157894736842,19,0.18181818181818182
2020-01-31 00:00:00,Comm,0.0625,16,-0.05263157894736842
2020-02-01 00:00:00,Comm,-0.3333333333333333,6,0.0625
2020-02-02 00:00:00,Comm,-0.16666666666666666,6,-0.3333333333333333
2020-02-03 00:00:00,Comm,-0.1111111111111111,9,-0.16666666666666666
2020-02-04 00:00:00,Comm,0.11764705882352941,17,-0.1111111111111111
2020-02-05 00:00:00,Comm,0.08333333333333333,12,0.11764705882352941
2020-02-06 00:00:00,Comm,0.15789473684210525,19,0.08333333333333333
2020-02-07 00:00:00,Comm,0.07692307692307693,13,0.15789473684210525
2020-02-08 00:00:00,Comm,0.0,2,0.07692307692307693
