date,fund,return,growth_of_1,drawdown
2020-07-06,Combined Equal Weight,0.01846379791251563,1.0184637979125157,0.0
2020-07-07,Combined Equal Weight,-0.00946803404297675,1.0088209480023407,-0.009468034042976692
2020-07-08,Combined Equal Weight,0.013280995944732938,1.0222190949217214,0.0
2020-07-09,Combined Equal Weight,-0.010331363538719428,1.0116581778358642,-0.010331363538719551
2020-07-10,Combined Equal Weight,0.010311065611098763,1.0220894516835344,-0.00012682529492069605
2020-07-13,Combined Equal Weight,-0.011603697304611891,1.010229435067962,-0.011729050957199672
2020-07-14,Combined Equal Weight,0.015084537268599749,1.025468278631081,0.0
2020-07-15,Combined Equal Weight,0.008080772960678566,1.0337548549690767,0.0
2020-07-16,Combined Equal Weight,-0.004406978244542519,1.0291991198130377,-0.004406978244542614
2020-07-17,Combined Equal Weight,0.0020670370459720884,1.031326512521373,-0.0023490505858627664
2020-07-20,Combined Equal Weight,-0.005991798292654151,1.0251470120844786,-0.008326773841227264
2020-07-21,Combined Equal Weight,0.01433764285676875,1.0398452038194295,0.0
2020-07-22,Combined Equal Weight,0.008756524843735555,1.0489506341803136,0.0
2020-07-23,Combined Equal Weight,-0.004751995418040574,1.043966025572938,-0.004751995418040722
2020-07-24,Combined Equal Weight,-0.004302453116228001,1.0394744106929754,-0.009034003296774062
2020-07-27,Combined Equal Weight,0.010836895280978075,1.0507390860289116,0.0
2020-07-28,Combined Equal Weight,0.0028560912548178555,1.0537400927436142,0.0
2020-07-29,Combined Equal Weight,0.009559842358083295,1.0638136819166353,0.0
2020-07-30,Combined Equal Weight,-0.00447709356275845,1.059050888529352,-0.004477093562758494
2020-07-31,Combined Equal Weight,0.0001699501054884052,1.059230874339575,-0.004307904339793334
2020-08-03,Combined Equal Weight,0.006211399265266618,1.0658101802141957,0.0
2020-08-04,Combined Equal Weight,0.011195004613800347,1.0777419300991289,0.0
2020-08-05,Combined Equal Weight,0.007478629832450103,1.0858019630492506,0.0
2020-08-06,Combined Equal Weight,0.0008232887020804212,1.0866958915381257,0.0
2020-08-07,Combined Equal Weight,0.0012311989675126483,1.0880338303977877,0.0
2020-08-10,Combined Equal Weight,0.009964331542536294,1.098875360213367,0.0
2020-08-11,Combined Equal Weight,-0.01673625893930775,1.080484297642811,-0.016736258939307636
2020-08-12,Combined Equal Weight,0.013277769586957935,1.0948307191892384,-0.003680709542293603
2020-08-13,Combined Equal Weight,0.0038170048528352036,1.0990096933574167,0.0
2020-08-14,Combined Equal Weight,0.0028227204245480637,1.102111890465633,0.0
2020-08-17,Combined Equal Weight,0.0039474871226654745,1.1064624629609827,0.0
2020-08-18,Combined Equal Weight,-0.007622017528730924,1.0980289866734114,-0.007622017528730818
2020-08-19,Combined Equal Weight,-0.015488201527329246,1.0810224924449645,-0.02299216771253021
2020-08-20,Combined Equal Weight,0.0021171582914242446,1.0833111881780606,-0.02092368747961626
2020-08-21,Combined Equal Weight,-0.00955286855470018,1.0729624587935596,-0.030276674798144
2020-08-24,Combined Equal Weight,0.015127271946348575,1.0891934536959527,-0.015607406345098052
2020-08-25,Combined Equal Weight,-0.010444703574958877,1.0778171509363128,-0.02588909518720839
2020-08-26,Combined Equal Weight,0.0002234671660073346,1.0780580076805066,-0.025671413383933084
2020-08-27,Combined Equal Weight,-0.002498072955373998,1.0753649401271956,-0.02810535727580632
2020-08-28,Combined Equal Weight,0.012810137482369805,1.0891405128539453,-0.015655253284130866
2020-08-31,Combined Equal Weight,-0.0036644748603312217,1.0851493848252238,-0.019262359862370237
2020-09-01,Combined Equal Weight,0.011960755265203155,1.098128591043304,-0.007531996969311172
2020-09-02,Combined Equal Weight,0.003979979263291744,1.1024991200640841,-0.003581994897768448
2020-09-03,Combined Equal Weight,-0.03611870273927122,1.0626782820761813,-0.03957132062811364
2020-09-04,Combined Equal Weight,0.0014319609456646455,1.0641999958739203,-0.038196024268156936
2020-09-08,Combined Equal Weight,-0.022324334209526866,1.0404424395002538,-0.05966765766644622
2020-09-09,Combined Equal Weight,0.015072916967977525,1.0561249420008012,-0.045494106348148766
2020-09-10,Combined Equal Weight,-0.010869261181879952,1.0446456441654968,-0.05586888020589431
2020-09-11,Combined Equal Weight,0.005723316880903713,1.0506244822153117,-0.050465318630190215
2020-09-14,Combined Equal Weight,0.0144388334024674,1.065794274082572,-0.03675514555602666
