date,sp500_tr_index
1926-01-02,100.4297
1926-01-04,100.29341689709999
1926-01-05,99.83176629912262
1926-01-06,99.88537595762526
1926-01-07,100.2756281214917
1926-01-08,100.00558585496053
1926-01-09,100.22739824438685
1926-01-11,99.57441674482466
1926-01-12,99.41539640128318
1926-01-13,99.75987074981363
1926-01-14,99.1880471706757
1926-01-15,97.98251564536329
1926-01-16,97.93244657986851
1926-01-18,98.37392604905055
1926-01-19,97.2386909424445
1926-01-20,97.84020948461448
1926-01-21,96.98606445581377
1926-01-22,97.59678570369203
1926-01-23,98.08350087399636
1926-01-25,98.60246067712066
1926-01-26,98.01479001148503
1926-01-27,98.66521615800126
1926-01-28,98.9747289410889
1926-01-29,99.88905748704668
1926-01-30,99.88995648856405
1926-02-01,99.48010799709148
1926-02-02,100.07798344615402
1926-02-03,100.55105207390397
1926-02-04,101.03168610281723
1926-02-05,100.84154446957172
1926-02-06,100.83317462138075
1926-02-08,100.26578634778625
1926-02-09,100.58924377454419
1926-02-10,100.9401996460736
1926-02-11,101.1071547362882
1926-02-13,101.12747727439017
1926-02-15,99.10644464106149
1926-02-16,99.54657636171244
1926-02-17,100.14863405554809
1926-02-18,100.2763235639689
1926-02-19,100.3111194482456
1926-02-20,100.20147939468866
1926-02-23,99.24505627386637
1926-02-24,98.82554742099673
1926-02-25,97.59576230888985
1926-02-26,96.42412518237163
1926-02-27,96.55439417549302
1926-03-01,95.08705704720805
1926-03-02,92.79412775357167
1926-03-03,91.23444405428964
1926-03-04,95.09101523890851
1926-03-05,95.45112491361826
1926-03-06,94.9922913561585
1926-03-08,94.55124214739186
1926-03-09,95.05671308791182
1926-03-10,95.98997989700895
1926-03-11,96.60959521724415
1926-03-12,96.9304356829606
1926-03-13,95.23172979761671
1926-03-15,95.53104312437061
1926-03-16,95.15092510377875
1926-03-17,94.68449526892003
1926-03-18,93.53218496149728
1926-03-19,92.99531021981828
1926-03-20,93.16697956248406
1926-03-22,93.91371290367738
1926-03-23,93.30468247549703
