panel,,total_return,ann_return,ann_vol,sharpe,max_drawdown,wiped_out
long_short_in_sample,Equal-weight (1/N),0.6353161689064093,0.14973272427812592,0.22912597741946894,0.6534951905693566,-0.3482759938742478,False
long_short_in_sample,Minimum-variance,0.3529798024651427,0.08673757439877461,0.14772078936494842,0.587172426925549,-0.1431395747166454,False
long_short_in_sample,Mean-variance (tangency),1041.7378053344867,1.9990769359241038,0.709173889809995,2.818881186474174,-0.5106776391109902,False
long_short_out_sample,Equal-weight (1/N),0.42726033325760215,0.13214045520431209,0.16166197477746636,0.8173873626510395,-0.20321862626913556,False
long_short_out_sample,Minimum-variance,-0.04510343277536377,-0.0048092771870879075,0.1458473076793249,-0.0329747409370222,-0.16844739954499444,False
long_short_out_sample,Mean-variance (tangency),-0.9914396519161932,-0.24227632331930016,1.60193405804913,-0.15123988537602448,-0.9948545612959183,False
long_only_in_sample,Equal-weight (1/N),0.6353161689064093,0.14973272427812592,0.22912597741946894,0.6534951905693566,-0.3482759938742478,False
long_only_in_sample,Minimum-variance,0.4914107973486297,0.1135602783091452,0.1631729872337299,0.6959502319246067,-0.17252263956450975,False
long_only_in_sample,Mean-variance (tangency),3.465186190865767,0.41839189188815334,0.29242757270377195,1.4307539060688466,-0.3394159458928365,False
long_only_out_sample,Equal-weight (1/N),0.42726033325760215,0.13214045520431209,0.16166197477746636,0.8173873626510395,-0.20321862626913556,False
long_only_out_sample,Minimum-variance,0.22529138579436703,0.07617518978704657,0.1278715365589471,0.5957165436260385,-0.18301477274316025,False
long_only_out_sample,Mean-variance (tangency),0.45611411376540967,0.1538425195666998,0.23722575114470948,0.6485068287247396,-0.3829045246038585,False
