universe,strategy,sharpe,ann_return,ann_vol,max_drawdown
Equity (50),1/N,0.82,0.132,0.162,-0.203
Equity (50),Min-var,0.6,0.076,0.128,-0.183
Equity (50),Tangency,0.65,0.154,0.237,-0.383
Crypto (10),1/N,0.94,0.758,0.809,-0.816
Crypto (10),Min-var,1.15,0.746,0.651,-0.756
Crypto (10),Tangency,0.67,0.532,0.794,-0.855
Combined (60),1/N,0.97,0.211,0.217,-0.272
Combined (60),Min-var,0.6,0.076,0.128,-0.183
Combined (60),Tangency,0.66,0.252,0.382,-0.52
