date,Bitcoin,S&P 500
2010-07-18,0.0,0.0
2010-07-19,-0.05871388630009322,0.0
2010-07-20,-0.12936010235834927,0.0
2010-07-21,-0.07743636237862195,-0.012707999999999942
2010-07-22,-0.3188518129770469,0.0
2010-07-23,-0.29411848011577946,0.0
2010-07-24,-0.36463187325256297,0.0
2010-07-25,-0.41122299217333413,0.0
2010-07-26,-0.34762348555452005,0.0
2010-07-27,-0.31707809453985325,-0.0010730000000001017
2010-07-28,-0.3137104057240495,-0.007939624197999984
2010-07-29,-0.18569431500465994,-0.011946556055864366
2010-07-30,-0.2467686201286231,-0.011895177276779245
2010-07-31,-0.21311976994427317,-0.011895177276779245
2010-08-01,-0.288210624417521,-0.011895177276779245
2010-08-02,-0.30102516309412874,0.0
2010-08-03,-0.3008836114979929,-0.004812999999999845
2010-08-04,-0.3357900716976877,0.0
2010-08-05,-0.28937558247903095,-0.0013330000000001396
2010-08-06,-0.2815550440301039,-0.004773407815000019
2010-08-07,-0.31262878539879335,-0.004773407815000019
2010-08-08,-0.2905405405405408,-0.004773407815000019
2010-08-09,-0.17986952469711126,0.0
2010-08-10,-0.1922328889380328,-0.00596999999999992
2010-08-11,-0.21947809878844404,-0.03324121304999994
2010-08-12,-0.18452935694315042,-0.03854195147884698
2010-08-13,-0.24860205032618865,-0.04229356078417634
2010-08-14,-0.2195196451010757,-0.04229356078417634
2010-08-15,-0.24140339930813415,-0.04229356078417634
2010-08-16,-0.23695246971109074,-0.04210680802852962
2010-08-17,-0.18452935694315042,-0.030109195799086996
2010-08-18,-0.20782851817334613,-0.028708673477821134
2010-08-19,-0.22297297297297347,-0.045157492092473994
2010-08-20,-0.23695246971109085,-0.04853667972795894
2010-08-21,-0.2264678471575028,-0.04853667972795894
2010-08-22,-0.23195492899134706,-0.04853667972795894
2010-08-23,-0.24382572227399857,-0.052141774248469885
2010-08-24,-0.24277726001863964,-0.06581368129670995
2010-08-25,-0.24510717614165933,-0.0625225428959183
2010-08-26,-0.25355179440308173,-0.06979643048558881
2010-08-27,-0.24277726001863975,-0.054392259374430485
2010-08-28,-0.2474370922646788,-0.054392259374430485
2010-08-29,-0.25442684063373755,-0.054392259374430485
2010-08-30,-0.24312674743709262,-0.06815652564697616
2010-08-31,-0.30102516309412897,-0.06821895915975795
2010-09-01,-0.27743677089693763,-0.0403605696007161
2010-09-02,-0.2614165890027963,-0.03144072109515461
2010-09-03,-0.2911230195712958,-0.018639273105869214
2010-09-04,-0.27564916283703444,-0.018639273105869214
2010-09-05,-0.2818033550792175,-0.018639273105869214
2010-09-06,-0.2823858341099724,-0.018639273105869214
2010-09-07,-0.28658995736702975,-0.02958144521073902
2010-09-08,-0.28937558247903117,-0.02323684869952658
2010-09-09,-0.2880362211402241,-0.01855815320479759
2010-09-10,-0.28924132974345573,-0.013765772666896603
2010-09-11,-0.2588436044823723,-0.013765772666896603
2010-09-12,-0.2835507921714824,-0.013765772666896603
2010-09-13,-0.27562907735321585,-0.0023501114855158933
2010-09-14,-0.2778424976700844,-0.002830978731779954
2010-09-15,-0.29636533084809,0.0
2010-09-16,-0.2788909599254433,-0.00012100000000003774
2010-09-17,-0.3010190353194053,0.0
2010-09-18,-0.2893755824790314,0.0
2010-09-19,-0.269571295433365,0.0
2010-09-20,-0.2765408221458324,0.0
2010-09-21,-0.2701537744641199,-0.002731000000000039
2010-09-22,-0.27910216389428066,-0.007167849781000046
2010-09-23,-0.2759376448537867,-0.015366657677508666
2010-09-24,-0.2753960857409139,0.0
2010-09-25,-0.27749301025163153,0.0
2010-09-26,-0.2777260018639335,0.0
2010-09-27,-0.27539093841014506,-0.005519000000000274
2010-09-28,-0.278845553114735,-0.0005227274560002382
2010-09-29,-0.2787744641192924,-0.002925470819196141
2010-09-30,-0.27889095992544344,-0.006017398934185847
2010-10-01,-0.2780368843016223,-0.0015941763594429226
2010-10-02,-0.28471575023299234,-0.0015941763594429226
2010-10-03,-0.2886198916827314,-0.0015941763594429226
2010-10-04,-0.2859450499291095,-0.009499553671028949
2010-10-05,-0.2847157502329922,0.0
2010-10-06,-0.26828984156570423,0.0
2010-10-07,-0.21947809878844426,-0.0016169999999997575
2010-10-08,-0.01615670871500441,0.0
2010-10-09,0.0,0.0
2010-10-10,0.0,0.0
2010-10-11,-0.022092485643028237,0.0
2010-10-12,-0.023121861973930402,0.0
2010-10-13,0.0,0.0
2010-10-14,-0.027326305539889018,-0.0038650000000002294
2010-10-15,0.0,-0.0017392479100001301
2010-10-16,-0.03809523809523796,-0.0017392479100001301
2010-10-17,-0.028571428571428692,-0.0017392479100001301
2010-10-18,-0.02476190476190465,0.0
2010-10-19,-0.07100102975146749,-0.015835000000000155
2010-10-20,-0.05714285714285694,-0.0055514599150001676
2010-10-21,0.0,-0.003562562834830141
2010-10-22,-0.0420560747663552,-0.0012986569775911283
2010-10-23,-0.022837155950775623,-0.0012986569775911283
2010-10-24,0.0,-0.0012986569775911283
2010-10-25,0.0,0.0
2010-10-26,0.0,0.0
2010-10-27,0.0,-0.002546999999999966
2010-10-28,-0.07778369738945135,-0.001244326381999783
2010-10-29,0.0,-0.0013861496876534929
2010-10-30,0.0,-0.0013861496876534929
2010-10-31,-0.02586169467576127,-0.0013861496876534929
2010-11-01,-0.015613955201309926,-0.0006471754384224093
2010-11-02,-0.019283098328117143,0.0
2010-11-03,-0.022825419438387118,0.0
2010-11-04,0.0,0.0
2010-11-05,0.0,0.0
2010-11-06,0.0,0.0
2010-11-07,-0.15208227976439925,0.0
2010-11-08,-0.3935277761485555,-0.0020000000000000018
2010-11-09,-0.458148918687002,-0.009582804
2010-11-10,-0.4275315155336257,-0.005260623356655669
2010-11-11,-0.4436163429865809,-0.009377849636582503
2010-11-12,-0.3311425512729761,-0.021063228522269495
2010-11-13,-0.3116903212205122,-0.021063228522269495
2010-11-14,-0.30410893925134685,-0.021063228522269495
2010-11-15,-0.33048278196769587,-0.022408287646279668
2010-11-16,-0.43887797925585237,-0.037784827689891554
2010-11-17,-0.39663338739499976,-0.037521180732678516
2010-11-18,-0.32900332777169505,-0.02281065445899655
2010-11-19,-0.3059793459871607,-0.020270939349935513
2010-11-20,-0.29419337712915183,-0.020270939349935513
2010-11-21,-0.3098199144846985,-0.020270939349935513
2010-11-22,-0.2892454403907465,-0.02161512762114748
2010-11-23,-0.2943578854686376,-0.03556493913152503
2010-11-24,-0.2944682733541919,-0.021095519913315153
2010-11-25,-0.3017148186295051,-0.021095519913315153
2010-11-26,-0.2907417657793975,-0.028200408629784457
2010-11-27,-0.29423319168625006,-0.028200408629784457
2010-11-28,-0.3232651982991156,-0.028200408629784457
2010-11-29,-0.4250133861799813,-0.029254811186420926
2010-11-30,-0.4807750901380822,-0.034937553521735665
2010-12-01,-0.43264329013647307,-0.01409702999003748
2010-12-02,-0.36406170982329944,-0.0014340922432295455
2010-12-03,-0.3738873714451556,0.0
2010-12-04,-0.4887541804118922,0.0
2010-12-05,-0.4941172811269212,0.0
2010-12-06,-0.4912493678586396,-0.0011619999999997743
2010-12-07,-0.4178785843158511,-0.000507761109999616
2010-12-08,-0.40446249531687806,0.0
2010-12-09,-0.5012455837558003,0.0
2010-12-10,-0.4912493678586397,0.0
2010-12-11,-0.4313963523125972,0.0
2010-12-12,-0.451712431155332,0.0
2010-12-13,-0.432380842883911,0.0
2010-12-14,-0.38478581645611687,0.0
2010-12-15,-0.4014698445395761,-0.004986000000000046
2010-12-16,-0.37663084308796857,0.0
2010-12-17,-0.3948465714063497,0.0
2010-12-18,-0.3989759688918244,0.0
2010-12-19,-0.401220456974801,0.0
2010-12-20,-0.33413520205027847,0.0
2010-12-21,-0.39788863327918733,0.0
2010-12-22,-0.3765310880620586,0.0
2010-12-23,-0.37660558512706954,-0.001590999999999898
2010-12-24,-0.38151883935756215,-0.001590999999999898
2010-12-25,-0.3767804756268337,-0.001590999999999898
2010-12-26,-0.3392174028735281,-0.001590999999999898
2010-12-27,-0.3396581673363467,-0.0007852839369999476
2010-12-28,-0.2992209429817537,-2.0884679211685686e-05
2010-12-29,-0.25183730567447016,0.0
2010-12-30,-0.25183730567447016,-0.001458999999999988
2010-12-31,-0.25183730567447016,-0.001729604611000024
2011-01-01,-0.25183730567447016,-0.001729604611000024
2011-01-02,-0.25191212194390267,-0.001729604611000024
2011-01-03,-0.264306683913229,0.0
2011-01-04,-0.25445587510460954,-0.0012360000000000149
2011-01-05,-0.2545399133209876,0.0
2011-01-06,-0.2568250569699738,-0.001715000000000022
2011-01-07,-0.20195979271943498,-0.00346699017499974
2011-01-08,-0.19472755334095482,-0.00346699017499974
2011-01-09,-0.1944781657761796,-0.00346699017499974
2011-01-10,-0.18552515220075083,-0.005010619807218952
2011-01-11,-0.18552515220075083,-0.0012008054704604199
2011-01-12,-0.2049533879920138,0.0
2011-01-13,-0.20794509427403918,-0.0016970000000001706
2011-01-14,-0.002474665080227534,0.0
2011-01-15,-0.03736399996781814,0.0
2011-01-16,-0.0353938382060941,0.0
2011-01-17,-0.12839046111075758,0.0
2011-01-18,-0.2194418610101746,0.0
2011-01-19,-0.2194418610101746,-0.00996000000000008
2011-01-20,-0.027388497376810927,-0.011007462319999828
2011-01-21,0.0,-0.008826733774415452
2011-01-22,0.0,-0.008826733774415452
2011-01-23,0.0,-0.008826733774415452
2011-01-24,-0.05085895117540695,-0.0032335430331044135
2011-01-25,-0.07323688969258602,-0.0028348364503177903
2011-01-26,-0.061742473443298085,0.0
2011-01-27,-0.04792043399638335,0.0
2011-01-28,0.0,-0.017915999999999932
2011-01-29,-0.012338000626420542,-0.017915999999999932
2011-01-30,0.0,-0.017915999999999932
2011-01-31,0.0,-0.010584742940000225
2011-02-01,0.0,0.0
2011-02-02,0.0,-0.0024700000000000832
2011-02-03,-0.043472484605415196,-0.0001098440199998052
2011-02-04,0.0,0.0
2011-02-05,0.0,0.0
2011-02-06,-0.014996057062189871,0.0
2011-02-07,-0.02440583926185913,0.0
2011-02-08,0.0,0.0
2011-02-09,0.0,-0.002729999999999899
2011-02-10,-0.035822325178622494,-0.0019880311199999
2011-02-11,0.0,0.0
2011-02-12,0.0,0.0
2011-02-13,-0.026609063371719643,0.0
2011-02-14,-0.00805658050419178,0.0
2011-02-15,-0.026609063371719643,-0.0031530000000000724
2011-02-16,-0.04358534535664205,0.0
2011-02-17,-0.03595065211419424,0.0
2011-02-18,-0.16663281926861562,0.0
2011-02-19,-0.12484913056792657,0.0
2011-02-20,-0.19811127601574985,0.0
2011-02-21,-0.22522955036259362,0.0
2011-02-22,-0.18694807679393188,-0.02069299999999996
2011-02-23,-0.16566491146147366,-0.02670006913800005
2011-02-24,-0.08307012636699351,-0.027473842583035424
2011-02-25,-0.1520819345946326,-0.01746071326627019
2011-02-26,-0.11189665020010231,-0.01746071326627019
2011-02-27,-0.17026940791622147,-0.01746071326627019
2011-02-28,-0.2025416663131584,-0.012430112118193448
2011-03-01,-0.14610727018221814,-0.027947797766480376
2011-03-02,-0.1286760558695994,-0.026003693362013358
2011-03-03,-0.12944236168391166,-0.009419458248888346
2011-03-04,-0.1646451685754824,-0.016630884592836348
2011-03-05,-0.15839636340127627,-0.016630884592836348
2011-03-06,-0.1797828131218484,-0.016630884592836348
2011-03-07,-0.1864455431002091,-0.024798748465408305
2011-03-08,-0.19711786894744,-0.015914665063928357
2011-03-09,-0.2027464709520751,-0.017017824724391728
2011-03-10,-0.1465027284347623,-0.03546151927908803
2011-03-11,-0.18420569120677444,-0.028329721752637815
2011-03-12,-0.14914923619310094,-0.028329721752637815
2011-03-13,-0.17262697425583418,-0.028329721752637815
2011-03-14,-0.17129674482818935,-0.03405674637262779
2011-03-15,-0.19139951374795094,-0.04475263602004376
2011-03-16,-0.21089359948817388,-0.06325864320242747
2011-03-17,-0.23480347913169952,-0.05108849949491334
2011-03-18,-0.256552547927132,-0.047089786431784963
2011-03-19,-0.2908151747422525,-0.047089786431784963
2011-03-20,-0.31260059094298076,-0.047089786431784963
2011-03-21,-0.29640521983546064,-0.03274086443587476
2011-03-22,-0.24990467278682815,-0.035984084317421394
2011-03-23,-0.21228570213103182,-0.033173013907291105
2011-03-24,-0.19127495134983674,-0.024115778701574553
2011-03-25,-0.1807107542247851,-0.021003683919853855
2011-03-26,-0.20719625809094688,-0.021003683919853855
2011-03-27,-0.237973952468146,-0.021003683919853855
2011-03-28,-0.2632445714705912,-0.02371941970066016
2011-03-29,-0.26531238638371335,-0.016666768788577757
2011-03-30,-0.2679114601956938,-0.01005876947483697
2011-03-31,-0.27263594020198545,-0.011786216922103354
2011-04-01,-0.2823698495682684,-0.006953851522852328
2011-04-02,-0.27506478234862,-0.006953851522852328
2011-04-03,-0.2778366289205423,-0.006953851522852328
2011-04-04,-0.36961348865978016,-0.0065377651866406206
2011-04-05,-0.33652576645889065,-0.00644934704774236
2011-04-06,-0.3139911494238784,-0.003864128248760368
2011-04-07,-0.301198011399621,-0.005356339784643782
2011-04-08,-0.30473002994110077,-0.009368732309952499
2011-04-09,-0.31949728150530865,-0.009368732309952499
2011-04-10,-0.3203350435497755,-0.009368732309952499
2011-04-11,-0.28607435912785795,-0.012115752815257008
2011-04-12,-0.20146566662699983,-0.01959996387192864
2011-04-13,-0.13755703518647744,-0.01916662705595995
2011-04-14,-0.07423127287200959,-0.019119547054058605
2011-04-15,-0.08809665149622359,-0.015378469006522955
2011-04-16,-0.029730535301966676,-0.015378469006522955
2011-04-17,0.0,-0.015378469006522955
2011-04-18,0.0,-0.026246721465628897
2011-04-19,0.0,-0.020782018066494046
2011-04-20,-0.03631252782061989,-0.007488154743764741
2011-04-21,0.0,-0.0024045090723622264
2011-04-22,0.0,-0.0024045090723622264
2011-04-23,0.0,-0.0024045090723622264
2011-04-24,-0.10764569732180473,-0.0024045090723622264
2011-04-25,-0.14455441018881343,-0.004107404575375617
2011-04-26,-0.031720118043055745,0.0
2011-04-27,0.0,0.0
2011-04-28,0.0,0.0
2011-04-29,0.0,0.0
2011-04-30,0.0,0.0
2011-05-01,-0.11593498472071428,0.0
2011-05-02,-0.08571428571428563,-0.0017399999999999638
2011-05-03,-0.03983265609083997,-0.005075186660000064
2011-05-04,-0.026093415045502777,-0.011569060916670204
2011-05-05,-0.04464666160140274,-0.020444182318699156
2011-05-06,-0.012835547298988503,-0.01660530306920649
2011-05-07,0.0,-0.01660530306920649
2011-05-08,0.0,-0.01660530306920649
2011-05-09,-0.011582914008267164,-0.012235097036046194
2011-05-10,0.0,-0.004263834269127131
2011-05-11,-0.03749618624312623,-0.014543814444132774
2011-05-12,0.0,-0.009416485910685446
2011-05-13,0.0,-0.017389692615590202
