year,Bitcoin,S&P 500
2010,2.494874184529353,0.1936000012956849
2011,14.714354437950492,0.018378352702485445
2012,1.8732864373750338,0.16111410576191898
2013,52.85956652179721,0.3235694949096255
2014,-0.5611134738855723,0.13585438382442216
2015,0.3447108315183136,0.014834244335055091
2016,1.2383113710651474,0.11808836427157776
2017,13.688978981270676,0.22002820773981302
2018,-0.7356177886907108,-0.04477013588007128
2019,0.922034434084942,0.3137713308754688
2020,3.031600901707659,0.18920440084072077
2021,0.5966792379843284,0.28337035989276727
2022,-0.6426524216644376,-0.18220329800179336
2023,1.554174194122552,0.2646098285120084
2024,1.21054746592571,0.25477980939907363
2025,-0.06336749968935496,0.1787704532163421
