asset_class,observations,tickers,mean_daily_return,median_daily_return,std_daily_return,min_daily_return,p01_daily_return,p99_daily_return,max_daily_return
Crypto,14600,10,0.0022267345092331975,0.00103590730522507,0.05199472833300995,-0.4295601601954183,-0.13250511116923913,0.16115473464135582,0.7492442836546367
Equity,50250,50,0.0005941774772941516,0.00044291643428551186,0.02304483471617303,-0.5201379648635512,-0.06295269662302162,0.06577238251093082,0.3369776129990134
