fund,annualised_return,annualised_volatility,sharpe_ratio,max_drawdown,total_return,final_growth_of_1
Combined Maximum Sharpe,0.2602921627957975,0.195948144552914,1.3283726844655472,-0.17634640342066654,1.2410587321975348,2.241058732197535
Equity Sentiment Tilt,0.1779808745228817,0.16570097372485884,1.0741088028753123,-0.19397900185087313,0.7706672472585474,1.7706672472585474
Equity Equal Weight,0.1697674759735477,0.16221794848797444,1.0465394092080564,-0.203218626269136,0.7279759300785553,1.7279759300785553
Combined Equal Weight,0.20064322690579472,0.2094047212903188,0.9581599959612317,-0.2874698799026557,0.8923589081446301,1.8923589081446301
Combined Minimum Variance,0.13488615199839837,0.14533416465006355,0.9281104159037763,-0.19104735304234,0.5548154394847105,1.5548154394847105
Crypto Equal Weight,0.11581906536856912,0.729754948729325,0.1587095306037148,-0.8484908847925205,0.4655870851003838,1.4655870851003838
